1000
1000
player;12;14;50;40
ziel;546;842;48;50
victim;208;81;27;50
victim;576;375;27;50
victim;430;507;27;50
enemy;715;112;50;30
wall;574;430;50;4
enemy;636;271;50;30
enemy;797;226;50;30
enemy;431;55;50;30
enemy;610;330;50;30
victim;756;340;27;50
victim;571;143;27;50
victim;551;253;27;50
victim;713;652;27;50
victim;591;511;27;50
victim;541;578;27;50
victim;465;681;27;50
victim;953;638;27;50
victim;198;601;27;50
enemy;486;272;50;30
enemy;299;362;50;30
enemy;145;392;50;30
enemy;41;422;50;30
enemy;396;315;50;30
enemy;477;469;50;30
enemy;722;561;50;30
enemy;787;467;50;30
enemy;930;402;50;30
enemy;835;339;50;30
